ASV_ID	LK_1	LK_2	LK_3	LK_4	LK_5	LM_1	LM_2	LM_3	LM_4	LM_5	RK_1	RK_2	RK_3	RK_4	RK_5	RM_1	RM_2	RM_3	RM_4	RM_5
d__Bacteria;p__Desulfobacterota;c__Desulfobaccia;o__Desulfobaccales;f__Desulfobaccaceae;g__Desulfobacca	312	266	248	212	387	258	263	172	325	115	121	257	156	243	264	216	279	245	272	187
d__Bacteria;p__Armatimonadota;c__Chthonomonadetes;o__Chthonomonadales;f__Chthonomonadaceae;g__Chthonomonas	9	3	0	0	1	0	0	0	0	0	13	8	0	11	8	11	6	0	4	10
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__B1-7BS;g__B1-7BS	213	220	195	254	188	178	92	107	79	110	67	59	71	44	39	79	57	54	56	82
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__GOUTB8;f__GOUTB8;g__GOUTB8	88	86	22	58	91	73	54	60	64	66	172	133	199	245	145	114	151	126	132	155
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium	0	0	0	0	8	0	0	6	9	0	22	34	22	45	39	65	49	44	69	64
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;__;__;__	16	41	38	30	25	3	9	29	5	3	6	5	4	3	5	3	13	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;__	172	268	152	246	195	174	124	197	163	184	772	482	736	208	707	331	307	743	378	239
d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Syntrophaceae;g__Syntrophus	65	12	10	43	40	32	38	32	54	58	43	44	45	47	61	56	30	28	46	40
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__Ellin516	0	6	6	2	0	0	0	15	1	0	22	22	11	19	39	16	19	6	8	19
d__Bacteria;p__Desulfobacterota;c__uncultured;o__uncultured;f__uncultured;g__uncultured	225	135	67	108	154	191	139	151	125	87	203	194	213	182	169	174	155	118	169	136
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;__	63	32	44	39	73	48	52	51	35	56	124	133	144	83	112	181	144	175	244	425
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__Dehalococcoidales;f__uncultured;g__uncultured	16	26	26	30	38	44	61	45	24	28	91	100	123	140	123	105	88	126	111	131
d__Bacteria;p__Myxococcota;c__Polyangia;o__UASB-TL25;f__UASB-TL25;g__UASB-TL25	34	50	60	17	46	71	52	10	46	25	69	62	51	56	53	74	63	58	49	75
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__Bacteriovorax	0	0	0	0	0	16	0	0	0	16	17	7	24	0	15	20	21	33	16	15
d__Bacteria;__;__;__;__;__	193	249	204	212	244	298	264	201	214	155	342	290	336	337	241	345	323	349	305	287
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Citrifermentans	48	84	15	66	63	40	47	40	33	12	26	20	25	19	34	10	13	30	10	19
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__CL500-3	4	3	0	0	4	0	5	2	0	0	1	2	1	3	3	0	1	3	2	0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bryobacter	94	57	137	39	83	57	54	58	73	9	114	156	97	147	141	135	120	115	96	163
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ectothiorhodospirales;f__Thioalkalispiraceae;g__Thioalkalispira-Sulfurivermis	117	147	105	61	101	224	226	132	130	106	242	246	257	227	193	234	465	258	260	206
d__Bacteria;p__Acidobacteriota;c__Subgroup_21;o__Subgroup_21;f__Subgroup_21;g__Subgroup_21	57	49	84	20	70	62	81	60	71	36	109	128	109	130	91	113	142	105	92	110
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__TRA3-20;g__TRA3-20	45	88	77	56	58	105	75	67	106	13	114	110	142	91	122	61	120	115	121	125
d__Bacteria;p__Patescibacteria;c__Parcubacteria;__;__;__	0	9	5	0	0	6	0	4	3	0	5	7	16	18	16	0	8	8	14	17
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	24	61	48	14	213	33	25	81	87	544	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__WX65;g__WX65	7	16	23	0	11	43	0	1	7	13	1	3	9	6	11	7	8	4	7	2
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__CCM19a;f__CCM19a;g__CCM19a	42	40	45	42	29	33	31	23	16	6	18	12	6	12	6	15	14	12	17	9
d__Bacteria;p__Zixibacteria;c__Zixibacteria;o__Zixibacteria;f__Zixibacteria;g__Zixibacteria	63	95	65	68	71	87	70	76	87	34	118	119	110	112	88	81	101	124	107	106
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Oxyphotobacteria_Incertae_Sedis;f__Unknown_Family;__	6	8	26	11	20	1	6	3	4	0	0	0	1	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Lentimicrobiaceae;g__Lentimicrobiaceae	93	96	85	87	127	50	77	53	92	44	135	141	131	161	134	217	166	235	174	171
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter	8	6	0	0	0	0	0	0	0	15	6	6	3	21	6	0	11	110	8	5
d__Bacteria;p__Acidobacteriota;c__Subgroup_18;o__Subgroup_18;f__Subgroup_18;g__Subgroup_18	275	217	285	179	177	369	257	153	223	129	421	398	358	426	327	323	314	327	304	326
d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;__	90	114	78	74	80	26	63	76	40	38	138	146	157	174	165	119	137	107	121	136
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__IMCC26256;g__IMCC26256	43	54	84	50	60	77	31	39	65	68	4	19	21	24	78	19	29	11	19	10
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Phormidesmiales;f__Nodosilineaceae;__	27	18	7	12	28	0	9	11	6	0	0	0	0	0	3	0	0	0	3	0
d__Bacteria;p__RCP2-54;c__RCP2-54;o__RCP2-54;f__RCP2-54;g__RCP2-54	81	65	47	59	77	74	96	106	77	26	104	116	96	120	95	107	108	83	95	113
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella	155	90	215	141	187	67	118	72	37	69	0	14	15	16	39	6	14	8	14	23
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Aridibacter	10	8	0	11	20	0	8	10	8	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__ADurb.Bin063-1	207	233	300	416	55	202	110	177	148	101	213	154	118	167	169	89	183	85	100	154
d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__P3OB-42	28	23	0	41	23	60	23	0	12	12	271	115	277	41	144	98	51	118	123	73
d__Bacteria;p__Gemmatimonadota;c__S0134_terrestrial_group;o__S0134_terrestrial_group;f__S0134_terrestrial_group;g__S0134_terrestrial_group	107	66	27	75	92	109	131	109	85	52	189	233	204	229	208	224	331	258	198	327
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__Pedosphaeraceae	136	146	145	147	78	101	99	100	146	43	98	61	85	66	82	51	38	62	33	31
d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__Kapabacteriales;g__Kapabacteriales	67	144	168	185	124	47	32	54	54	48	117	80	67	72	103	162	94	194	120	85
d__Bacteria;p__Chloroflexi;c__Anaerolineae;__;__;__	300	208	141	154	209	410	214	222	248	260	311	391	302	371	265	239	215	116	220	295
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;__	53	39	56	11	0	45	27	44	37	15	61	27	49	53	41	29	27	25	10	11
d__Bacteria;p__Planctomycetota;c__BD7-11;o__BD7-11;f__BD7-11;g__BD7-11	3	4	5	11	0	0	3	0	2	0	9	5	6	5	13	5	8	9	6	13
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Rubritaleaceae;g__Luteolibacter	206	244	199	392	122	98	58	79	74	117	78	65	62	31	83	136	108	123	61	56
d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantales;g__Aminicenantales	255	243	233	207	310	273	177	192	169	88	295	295	311	310	264	345	375	384	338	326
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__AKAU3564_sediment_group;g__AKAU3564_sediment_group	5	0	0	0	0	0	0	0	0	0	6	4	15	14	13	18	18	17	18	5
d__Bacteria;p__Chloroflexi;__;__;__;__	38	12	58	21	31	44	72	12	23	24	15	28	30	72	18	47	20	21	19	12
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__uncultured;g__uncultured	34	78	74	34	51	88	60	101	71	9	134	160	180	163	191	145	164	151	127	168
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__	0	0	13	0	0	0	0	0	0	0	16	10	0	0	9	0	0	4	0	6
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__uncultured	1110	562	1041	835	398	1712	642	770	768	525	984	897	830	1287	989	712	809	531	694	936
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Subgroup_13;f__Subgroup_13;g__Subgroup_13	114	81	22	29	66	56	68	89	69	52	138	114	126	134	162	73	103	136	111	119
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae;g__uncultured	112	152	140	244	171	71	47	129	62	61	41	25	24	7	39	7	3	18	14	9
d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__uncultured;f__uncultured;g__uncultured	561	596	508	385	605	470	446	487	410	290	1270	1197	1188	1334	1362	1625	1082	1783	1613	1486
d__Bacteria;p__Poribacteria;c__Poribacteria;o__Poribacteria;f__Poribacteria;g__Poribacteria	0	0	0	5	0	0	0	0	11	0	6	0	7	5	4	9	18	8	13	14
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Aurantisolimonas	184	360	297	379	283	174	66	150	68	112	74	77	52	17	45	187	114	124	150	68
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__uncultured;f__uncultured;g__uncultured	93	70	78	68	110	116	43	70	97	64	154	170	152	183	201	167	110	119	149	186
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Actinomarinales;f__uncultured;g__uncultured	30	26	24	3	13	18	14	5	17	10	25	27	24	18	40	35	31	27	27	24
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__AKYH767;g__AKYH767	14	19	16	40	28	0	0	14	22	21	16	17	6	5	18	6	10	5	17	18
d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__uncultured	529	468	454	460	578	520	370	480	372	383	872	860	982	875	1064	762	733	715	712	875
d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacteriales_(SR1);f__Absconditabacteriales_(SR1);g__Absconditabacteriales_(SR1)	0	0	0	0	0	0	0	0	0	0	2	8	0	2	0	41	7	8	7	14
d__Bacteria;p__MBNT15;c__MBNT15;o__MBNT15;f__MBNT15;g__MBNT15	563	434	446	353	554	657	755	569	544	434	1003	1044	1070	1405	1040	911	1021	1022	1143	1142
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__uncultured	497	1018	813	1293	792	302	281	373	395	407	262	272	154	159	182	308	230	175	265	248
d__Bacteria;p__Chloroflexi;c__KD4-96;o__KD4-96;f__KD4-96;g__KD4-96	380	294	516	252	418	305	174	236	280	200	260	365	333	388	379	443	419	384	457	353
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Ellin6067	153	168	209	184	211	168	207	162	110	161	222	168	173	177	131	329	329	384	373	304
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Dinghuibacter	238	487	379	518	523	73	139	194	141	162	105	117	83	67	46	253	178	212	199	145
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Acidiferrobacteraceae;g__Sulfurifustis	5	0	0	0	9	46	0	3	0	8	12	12	25	7	15	8	0	1	5	0
d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae;g__Haliangium	119	44	111	89	52	140	112	95	29	87	137	143	256	161	153	100	82	104	134	183
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__uncultured;g__uncultured	353	345	508	289	384	367	402	201	274	243	111	199	174	199	221	235	191	155	208	224
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Lacunisphaera	0	0	25	5	0	0	0	0	0	0	22	18	30	14	51	8	18	35	26	15
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Babeliales;g__Babeliales	0	8	0	1	7	0	8	12	0	1	5	4	8	29	0	14	6	25	6	11
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__OPB41;g__OPB41	185	173	274	159	276	240	147	88	95	112	112	161	94	130	181	197	187	136	179	167
d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__Syntrophobacter	138	205	72	227	217	116	110	171	163	172	84	110	103	86	79	75	107	85	80	60
d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__uncultured;g__uncultured	86	116	69	139	98	121	76	83	42	57	23	44	21	18	25	40	17	16	20	13
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__CCD24;f__CCD24;g__CCD24	61	44	36	57	36	79	53	38	33	26	62	57	56	66	64	49	46	53	38	62
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Spirochaeta	217	127	92	137	144	237	92	75	117	86	105	153	123	90	48	69	66	45	50	93
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__PLTA13;f__PLTA13;g__PLTA13	41	126	56	90	82	17	38	31	52	41	25	36	15	11	18	38	23	39	23	20
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Solibacterales;f__Solibacteraceae;g__Candidatus_Solibacter	76	69	57	34	90	84	45	83	32	62	296	312	223	354	234	208	278	109	263	308
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__uncultured	6	30	15	0	13	8	8	6	0	24	25	20	22	34	17	22	17	26	23	30
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;__	312	346	423	166	331	199	288	289	264	251	444	424	482	332	397	302	252	366	371	299
d__Bacteria;p__Bacteroidota;c__SJA-28;o__SJA-28;f__SJA-28;g__SJA-28	99	75	48	60	78	91	68	37	46	13	76	89	90	69	75	114	222	68	144	93
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;__	26	10	25	26	3	47	14	697	1589	63	0	0	0	14	0	0	0	0	0	0
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfatiglandales;f__Desulfatiglandaceae;g__Desulfatiglans	327	331	401	382	291	436	271	329	257	255	162	178	154	176	129	138	103	110	111	116
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__CL500-29_marine_group	25	11	35	17	57	72	10	30	26	0	55	65	49	59	35	46	54	51	31	69
d__Bacteria;p__Armatimonadota;c__Chthonomonadetes;o__Chthonomonadales;f__Chthonomonadales;g__Chthonomonadales	22	12	13	17	20	24	13	20	11	9	158	137	55	182	107	174	139	104	121	155
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__KF-JG30-C25;f__KF-JG30-C25;g__KF-JG30-C25	6	14	0	14	18	6	19	28	0	0	0	5	3	1	4	0	0	0	0	0
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Subgroup_17;f__Subgroup_17;g__Subgroup_17	509	463	605	380	374	445	431	367	263	329	191	287	238	275	313	290	340	254	341	342
d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Subgroup_7;f__Subgroup_7;g__Subgroup_7	204	225	243	134	173	267	183	162	173	39	182	169	200	167	177	205	258	217	229	264
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__alphaI_cluster	68	77	124	125	93	32	49	50	34	63	0	11	10	9	15	14	0	2	15	5
d__Bacteria;p__Armatimonadota;c__DG-56;o__DG-56;f__DG-56;g__DG-56	2	11	5	3	4	0	6	2	9	3	33	39	32	42	25	33	40	24	32	27
d__Bacteria;p__Desulfobacterota;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__Syntrophorhabdus	225	121	144	113	116	79	191	146	180	76	158	160	159	140	139	169	130	152	144	161
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Leptolyngbyales;f__Leptolyngbyaceae;g__Leptolyngbya_BN43	7	22	15	25	23	6	0	12	8	13	2	0	0	0	3	0	5	0	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__	7	8	9	10	31	18	9	15	4	6	22	20	30	21	35	37	15	22	36	37
d__Bacteria;p__Sva0485;c__Sva0485;o__Sva0485;f__Sva0485;g__Sva0485	478	325	248	291	251	476	345	278	309	218	420	418	420	489	361	364	394	316	392	365
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;__;__	40	56	124	45	83	167	64	95	58	68	26	55	14	28	17	80	49	32	55	23
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__uncultured;g__uncultured	193	180	207	123	202	101	182	126	132	201	25	66	63	42	77	48	51	50	49	47
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_5	0	5	13	16	9	10	10	15	0	33	4	6	18	10	10	5	5	10	4	9
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadia;f__Geothermobacteraceae;g__Geothermobacter	62	151	85	149	90	18	10	95	30	7	23	17	16	9	18	12	13	41	19	17
d__Bacteria;p__Chloroflexi;c__OLB14;o__OLB14;f__OLB14;g__OLB14	25	5	5	10	26	20	5	11	6	9	19	10	26	16	28	16	10	21	8	23
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__pLW-20	3	13	11	0	0	8	0	11	6	7	25	51	23	26	8	10	33	17	34	12
d__Bacteria;p__Acidobacteriota;c__Acidobacteriota;o__Acidobacteriota;f__Acidobacteriota;g__Acidobacteriota	16	19	0	25	13	30	7	10	21	10	11	9	13	8	14	22	16	20	8	17
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomicrobium	141	120	97	110	142	67	93	114	116	79	143	187	137	276	162	312	279	226	366	228
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__uncultured	37	33	63	29	33	28	11	17	24	15	15	23	8	19	14	13	15	10	13	22
d__Bacteria;p__NB1-j;c__NB1-j;o__NB1-j;f__NB1-j;g__NB1-j	181	122	143	146	102	84	123	100	122	93	199	165	130	82	154	99	41	62	64	179
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured	300	408	337	408	403	230	178	252	145	125	170	188	177	115	213	169	135	228	116	159
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Ideonella	0	0	0	2	0	0	15	0	0	0	18	32	49	50	47	14	21	28	34	13
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Moranbacteria;f__Candidatus_Moranbacteria;g__Candidatus_Moranbacteria	0	0	2	0	1	20	7	0	0	0	6	2	12	0	19	15	3	31	28	13
d__Bacteria;p__Myxococcota;c__Polyangia;o__mle1-27;f__mle1-27;g__mle1-27	16	6	3	0	0	8	0	0	0	0	9	22	9	6	6	3	10	11	6	3
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora	0	4	0	25	38	1	48	26	32	22	0	0	0	4	21	0	28	8	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__MM1	6	0	0	2	0	0	0	2	9	14	22	24	7	18	32	22	9	68	29	10
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__Peredibacter	7	0	0	0	0	22	0	0	5	6	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas	231	0	46	12	2	0	0	393	24	0	0	0	0	0	0	0	0	0	1	0
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SJA-15;f__SJA-15;g__SJA-15	388	260	486	294	317	285	150	314	291	102	47	84	84	87	107	29	78	5	57	76
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas	20	59	34	99	73	11	29	19	0	31	3	0	0	4	5	0	3	11	1	0
