ASV_ID	LK_1	LK_2	LK_3	LK_4	LK_5	LM_1	LM_2	LM_3	LM_4	LM_5	RK_1	RK_2	RK_3	RK_4	RK_5	RM_1	RM_2	RM_3	RM_4	RM_5
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;__	19	25	38	5	17	29	0	7	33	0	69	92	118	234	107	190	273	160	166	98
d__Bacteria;p__Chloroflexi;c__TK10;o__TK10;f__TK10;g__TK10	35	20	32	11	18	27	37	41	29	5	14	5	12	23	30	6	19	8	20	17
d__Bacteria;p__Actinobacteriota;c__MB-A2-108;o__MB-A2-108;f__MB-A2-108;g__MB-A2-108	36	41	42	8	49	45	24	29	6	35	3	23	24	28	41	12	28	9	14	16
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Arenimonas	4	2	0	0	0	0	12	13	6	0	18	8	19	6	39	14	7	26	20	11
d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__WCHB1-41;f__WCHB1-41;g__WCHB1-41	25	39	51	11	16	10	8	43	34	29	28	50	13	23	48	33	32	47	47	64
d__Bacteria;p__Latescibacterota;c__Latescibacterota;o__Latescibacterota;f__Latescibacterota;g__Latescibacterota	331	272	279	275	251	340	259	287	240	186	645	600	628	655	558	448	656	545	557	609
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidetes_vadinHA17;g__Bacteroidetes_vadinHA17	388	464	254	347	420	405	202	357	323	160	581	515	452	420	372	374	419	387	394	545
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Sva0081_sediment_group	155	214	275	155	178	119	101	135	119	125	126	74	82	54	63	80	49	51	44	69
d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Methylomirabilales;f__Methylomirabilaceae;g__Sh765B-TzT-35	190	311	245	261	221	118	318	239	178	106	169	160	162	128	116	72	52	43	74	98
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas	81	142	66	209	254	152	301	479	1004	2845	39	33	52	68	65	71	53	59	78	76
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfococcaceae;g__Desulfonema	3	16	4	0	13	0	3	0	6	6	4	1	0	0	2	6	7	2	3	11
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__RBG-13-54-9;f__RBG-13-54-9;g__RBG-13-54-9	522	344	322	282	342	576	362	451	424	335	560	598	519	696	512	360	455	256	405	643
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SC-I-84;g__SC-I-84	641	621	652	595	571	333	490	388	360	413	419	463	387	376	408	559	504	394	541	661
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Dongiales;f__Dongiaceae;g__Dongia	27	5	18	16	17	50	17	35	15	19	23	27	42	21	43	56	32	33	49	34
d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;__	134	114	121	130	123	52	120	80	138	74	31	60	54	79	42	42	39	23	35	31
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__	579	511	379	1026	415	332	159	1522	297	938	394	455	264	280	251	535	254	504	395	398
d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__Anaeromyxobacter	538	534	535	543	462	417	350	360	345	332	697	634	834	361	520	223	342	291	282	339
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__KI89A_clade;f__KI89A_clade;g__KI89A_clade	75	119	70	105	91	68	51	82	80	66	86	88	89	100	64	81	57	58	62	92
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Ardenticatenales;f__uncultured;g__uncultured	21	21	36	0	7	22	29	11	7	13	147	111	87	49	89	96	52	79	95	173
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__uncultured	473	941	671	843	795	265	317	377	309	327	360	379	245	212	292	480	322	310	380	410
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio	4	0	0	0	15	0	13	11	4	7	13	29	33	28	14	62	47	66	53	33
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__uncultured	78	142	118	215	146	179	58	66	81	68	42	32	23	18	40	89	64	76	63	45
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__SBR1031;g__SBR1031	161	116	160	83	220	182	84	121	125	105	340	475	427	484	469	447	531	353	409	478
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Chitinophagaceae	2	28	46	16	22	0	0	0	5	0	11	5	4	6	3	18	14	10	18	13
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__RBG-16-58-14	219	114	190	180	83	307	178	186	148	58	190	188	138	260	215	216	180	151	186	213
